S No,Station Name,Station Code,Old Station Category,New Station Category,Division,Zone,District,State
1,BHORAS BUDRUKH,BFJ,F,HG2,BSL,CR,JALGAON,MAHARASHTRA
2,JAMNER,JMNR,E,HG2,BSL,CR,JALGAON,MAHARASHTRA
3,ANJANGAON,ANJ,E,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
4,BANOSA,BASA,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
5,BHADSIVNI,BDKE,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
6,BHAGDARA,BGR,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
7,BORVIHIR,BRVR,F,HG3,BSL,CR,DHULE,MAHARASHTRA
8,CHAMAK,CMK,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
9,DARWHA MOTI BAGH JN.,DWM,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
10,KAPUSTALNI,KTNI,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
11,KARANJA,KRJA,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
12,KARANJA TOWN,KRJT,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
13,KHUSTA BUZURG,KSBG,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
14,KINKHED,KQV,F,HG3,BSL,CR,AKOLA,MAHARASHTRA
15,KOKALDA,KXD,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
16,KOLHADI,KLHD,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
17,LADKHED,LDD,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
18,LAKHPURI,LPU,F,HG3,BSL,CR,AKOLA,MAHARASHTRA
19,LASINA,LSN,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
20,LEHGAON,LGN,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
21,LING,LING,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
22,MANDURA,MNDA,F,HG3,BSL,CR,AKOLA,MAHARASHTRA
23,MOHADI PRAGANE LALIN,MHAD,F,HG3,BSL,CR,DHULE,MAHARASHTRA
24,MORDAD TANDA,MWK,F,HG3,BSL,CR,DHULE,MAHARASHTRA
25,MURTIZAPUR TOWN,MZRT,F,HG3,BSL,CR,AKOLA,MAHARASHTRA
26,NOWBAGH,NBGH,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
27,PAHUR,PHU,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
28,PIMPALGAON,PMGN,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
29,POHE,POHE,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
30,RAJMANE,RM,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
31,SANGWI,SWQ,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
32,SHENDURNI,SDRN,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
33,SHIRALA,SIRL,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
34,SOMTHAN,SMTN,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
35,TAPONA,TPN,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
36,VARKHEDI,VRKD,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
37,VILEGAON,VLN,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
38,WARUDKHED,WRD,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
39,NASHIK ROAD,NK,A1,NSG2,BSL,CR,NASHIK,MAHARASHTRA
40,AKOLA JN.,AK,A,NSG3,BSL,CR,AKOLA,MAHARASHTRA
41,AMRAVATI,AMI,A,NSG3,BSL,CR,AMRAVATI,MAHARASHTRA
42,BADNERA JN.,BD,A,NSG3,BSL,CR,AMRAVATI,MAHARASHTRA
43,BHUSAVAL JN.,BSL,A,NSG3,BSL,CR,JALGAON,MAHARASHTRA
44,JALGAON JN,JL,A,NSG3,BSL,CR,JALGAON,MAHARASHTRA
45,MANMAD JN.,MMR,A,NSG3,BSL,CR,NASHIK,MAHARASHTRA
46,SHEGAON,SEG,A,NSG3,BSL,CR,BULDHANA,MAHARASHTRA
